XCOLLAR,YCOLLAR,ZCOLLAR,AU
40529313.92,4109625.081,-545.0,1.2572665485556551
40529430.53,4109798.398,-535.0,2.7913589737001017
40529389.18,4109816.258,-478.0,3.717016066704662
40529511.41,4109853.349,-555.0,1.757294466663186
40529505.15,4109930.927,-478.0,0.4105547345038564
40529414.68,4109759.02,-517.0,0.4474133445829222
40529470.49,4109808.558,-545.0,0.7966714981092037
40529425.51,4109744.101,-565.0,0.3767414385432496
40529461.36,4109900.519,-469.0,0.4372065800236724
40529552.33,4109995.12,-478.0,1.4111897643705968
40529533.27,4109967.389,-545.0,4.107638146460181
40529518.55,4109910.392,-498.0,17.352620042024068
40529479.23,4109864.768,-498.0,0.8780305961738983
40529397.49,4109702.579,-545.0,1.5319545695549182
40529374.09,4109774.862,-469.0,0.26620442659306615
40529438.28,4109781.705,-506.0,1.3536562004798292
40529514.84,4109983.486,-488.0,2.45327445820619
40529514.44,4109921.979,-545.0,1.7752952856842992
40529288.15,4109567.928,-525.0,0.7012982887628895
40529424.1,4109759.114,-535.0,1.100177989552874
40529375.07,4109678.051,-555.0,2.0501036772559744
40529536.93,4109919.962,-535.0,1.2142681727946258
40529495.51,4109835.504,-545.0,0.43072508909035606
40529397.84,4109735.588,-565.0,0.9182630090111797
40529286.99,4109573.677,-535.0,3.390835057495416
40529516.46,4109955.65,-469.0,0.9469892761564878
40529506.25,4109939.248,-545.0,6.209024954863718
40529560.71,4109975.778,-545.0,2.6713362989361014
40529457.66,4109730.366,-545.0,3.1220487570070343
40529555.63,4109858.076,-506.0,0.6713342691290034
40529371.89,4109776.904,-469.0,0.33950279623643337
40529423.97,4109821.172,-545.0,2.0882126722902528
40529484.37,4109917.409,-498.0,2.274390887756246
40529268.26,4109552.798,-535.0,0.7231588601593887
40529510.87,4109776.237,-555.0,3.3830074551700737
40529388.36,4109786.092,-488.0,2.465725856129972
40529499.38,4109963.356,-498.0,0.9785220785623208
40529243.94,4109504.061,-525.0,0.3689110155193456
40529382.23,4109694.119,-565.0,0.18397419197697906
40529431.41,4109782.895,-525.0,0.044324113444105154
40529527.98,4109976.685,-488.0,1.385839621910895
40529550.58,4109989.451,-488.0,0.39940751139133246
40529472.73,4109869.735,-478.0,3.1401038925828257
40529456.4,4109827.554,-478.0,4.0385501119654315
40529515.24,4109928.193,-488.0,3.312367967326492
40529444.41,4109831.358,-478.0,0.49387831131817134
40529399.49,4109687.676,-545.0,1.745735716970006
40529303.16,4109602.486,-525.0,1.7798761939199181
40529421.84,4109837.109,-498.0,2.912610196971131
40529364.07,4109787.931,-498.0,1.8413597813376663
40529327.32,4109660.704,-555.0,1.0995227290329554
40529412.6,4109728.371,-506.0,2.5211606370295376
40529482.67,4109917.268,-525.0,1.8757686868498455
40529446.71,4109897.295,-498.0,1.4133978403536474
40529379.38,4109667.569,-545.0,4.569387488853928
40529492.82,4109895.154,-555.0,1.6757962211990018
40529391.95,4109801.711,-478.0,0.7958791530003764
40529268.65,4109481.36,-555.0,2.7095899912715575
40529382.8,4109710.223,-506.0,1.2545916699494624
40529539.61,4109972.174,-469.0,3.2159434108514593
40529473.17,4109813.32,-555.0,0.30496795494880147
40529450.72,4109911.057,-469.0,2.7018211579686255
40529291.31,4109635.688,-535.0,1.279310742048225
40529302.11,4109586.889,-555.0,1.1759648432128034
40529392.52,4109747.851,-506.0,0.1693573827760588
40529443.13,4109871.74,-555.0,4.311136929655819
40529508.9,4109891.494,-525.0,1.791865861272915
40529557.77,4109986.112,-469.0,0.40520013743719585
40529507.18,4109918.257,-525.0,11.080609142693755
40529465.4,4109821.098,-555.0,0.613469906720879
40529381.34,4109754.532,-478.0,0.31020404736946666
40529334.71,4109638.069,-535.0,1.9046629756413578
40529457.7,4109903.913,-469.0,0.44746193256498196
40529441.84,4109754.588,-565.0,1.6663817524711493
40529517.56,4109987.475,-488.0,1.0072115017217804
40529505.79,4109950.966,-535.0,3.3989876137585937
40529370.87,4109769.132,-488.0,0.33196916650228736
40529541.63,4109929.129,-517.0,0.3163518963064458
40529528.22,4109993.361,-469.0,1.5441972470590366
